startDate,value,type
2020-09-14 22:50:46 -0400,0.00754822,DistanceWalkingRunning
2020-09-14 22:50:46 -0400,18,StepCount
2020-09-14 22:20:17 -0400,0.0135792,DistanceWalkingRunning
2020-09-14 22:20:17 -0400,31,StepCount
2020-09-14 22:02:00 -0400,0.0162731,DistanceWalkingRunning
2020-09-14 22:02:00 -0400,37,StepCount
2020-09-14 21:07:30 -0400,0.0148359,DistanceWalkingRunning
2020-09-14 21:07:30 -0400,36,StepCount
2020-09-14 20:14:44 -0400,1,FlightsClimbed
2020-09-14 20:05:53 -0400,0.0600859,DistanceWalkingRunning
2020-09-14 20:05:53 -0400,141,StepCount
2020-09-14 19:12:03 -0400,23,StepCount
2020-09-14 19:12:03 -0400,0.0099634,DistanceWalkingRunning
2020-09-14 19:01:00 -0400,1,FlightsClimbed
2020-09-14 18:57:47 -0400,151,StepCount
2020-09-14 18:57:47 -0400,0.059908,DistanceWalkingRunning
2020-09-14 14:37:09 -0400,47,StepCount
2020-09-14 14:37:09 -0400,0.0200812,DistanceWalkingRunning
2020-09-14 14:30:21 -0400,2,FlightsClimbed
2020-09-14 14:27:10 -0400,257,StepCount
2020-09-14 14:27:10 -0400,0.0996617,DistanceWalkingRunning
2020-09-14 12:11:45 -0400,20,StepCount
2020-09-14 12:11:45 -0400,0.00625106,DistanceWalkingRunning
2020-09-14 09:11:35 -0400,18,StepCount
2020-09-14 09:11:35 -0400,0.00789099,DistanceWalkingRunning
2020-09-14 08:44:06 -0400,0.0113233,DistanceWalkingRunning
2020-09-14 08:44:06 -0400,26,StepCount
2020-09-14 08:17:29 -0400,68,HeartRate
2020-09-14 08:11:30 -0400,68,HeartRate
2020-09-14 08:07:24 -0400,67,HeartRate
2020-09-14 08:04:59 -0400,64,HeartRate
2020-09-14 08:02:07 -0400,0.145,ActiveEnergyBurned
2020-09-14 08:01:26 -0400,13.417,BasalEnergyBurned
2020-09-14 08:00:35 -0400,0.101,ActiveEnergyBurned
2020-09-14 07:56:08 -0400,6.365,BasalEnergyBurned
2020-09-14 07:55:04 -0400,66,HeartRate
2020-09-14 07:50:59 -0400,66,HeartRate
2020-09-14 07:45:26 -0400,65,HeartRate
2020-09-14 07:43:00 -0400,0.036,ActiveEnergyBurned
2020-09-14 07:42:34 -0400,64,HeartRate
2020-09-14 07:41:28 -0400,17.66,BasalEnergyBurned
2020-09-14 07:35:42 -0400,64,HeartRate
2020-09-14 07:32:29 -0400,65,HeartRate
2020-09-14 07:26:27 -0400,18.067,BasalEnergyBurned
2020-09-14 07:25:24 -0400,66,HeartRate
2020-09-14 07:20:09 -0400,66,HeartRate
2020-09-14 07:17:09 -0400,65,HeartRate
2020-09-14 07:11:25 -0400,18.068,BasalEnergyBurned
2020-09-14 07:10:44 -0400,0.05,ActiveEnergyBurned
2020-09-14 07:10:10 -0400,61,HeartRate
2020-09-14 07:07:12 -0400,66,HeartRate
2020-09-14 07:04:42 -0400,69.5023,HeartRate
2020-09-14 07:04:42 -0400,54.7677,HeartRateVariabilitySDNN
2020-09-14 07:01:03 -0400,65,HeartRate
2020-09-14 07:00:00 -0400,HKCategoryValueAppleStandHourIdle,AppleStandHour
2020-09-14 06:56:57 -0400,67,HeartRate
2020-09-14 06:56:24 -0400,18.14,BasalEnergyBurned
2020-09-14 06:53:51 -0400,67,HeartRate
2020-09-14 06:50:57 -0400,0.233,ActiveEnergyBurned
2020-09-14 06:45:26 -0400,67,HeartRate
2020-09-14 06:43:26 -0400,15.679,BasalEnergyBurned
2020-09-14 06:40:14 -0400,71,HeartRate
2020-09-14 06:35:57 -0400,67,HeartRate
2020-09-14 06:34:13 -0400,0.873,ActiveEnergyBurned
2020-09-14 06:33:22 -0400,61,HeartRate
2020-09-14 06:28:45 -0400,16.904,BasalEnergyBurned
2020-09-14 06:25:22 -0400,60,HeartRate
2020-09-14 06:21:27 -0400,59,HeartRate
2020-09-14 06:20:54 -0400,0.213,ActiveEnergyBurned
2020-09-14 06:15:02 -0400,65,HeartRate
2020-09-14 06:13:14 -0400,18.004,BasalEnergyBurned
2020-09-14 06:10:27 -0400,65,HeartRate
2020-09-14 06:07:47 -0400,61,HeartRate
2020-09-14 06:02:39 -0400,0.944,ActiveEnergyBurned
2020-09-14 06:00:22 -0400,62,HeartRate
2020-09-14 06:00:00 -0400,HKCategoryValueAppleStandHourIdle,AppleStandHour
2020-09-14 05:58:23 -0400,17.18,BasalEnergyBurned
2020-09-14 05:56:05 -0400,64,HeartRate
2020-09-14 05:50:42 -0400,64,HeartRate
2020-09-14 05:45:10 -0400,64,HeartRate
2020-09-14 05:44:02 -0400,17.247,BasalEnergyBurned
2020-09-14 05:40:07 -0400,64,HeartRate
2020-09-14 05:35:41 -0400,10.062,BasalEnergyBurned
2020-09-14 05:35:22 -0400,65,HeartRate
2020-09-14 05:30:57 -0400,65,HeartRate
2020-09-14 05:26:04 -0400,64,HeartRate
2020-09-14 05:21:00 -0400,17.73,BasalEnergyBurned
2020-09-14 05:20:50 -0400,0.168,ActiveEnergyBurned
2020-09-14 05:20:07 -0400,63,HeartRate
2020-09-14 05:15:16 -0400,63,HeartRate
2020-09-14 05:11:16 -0400,63,HeartRate
2020-09-14 05:07:31 -0400,0.116,ActiveEnergyBurned
2020-09-14 05:07:31 -0400,16.364,BasalEnergyBurned
2020-09-14 05:05:16 -0400,67,HeartRate
2020-09-14 05:00:36 -0400,68,HeartRate
2020-09-14 05:00:00 -0400,HKCategoryValueAppleStandHourIdle,AppleStandHour
2020-09-14 04:55:31 -0400,68,HeartRate
2020-09-14 04:53:11 -0400,0.366,ActiveEnergyBurned
2020-09-14 04:51:59 -0400,18.831,BasalEnergyBurned
2020-09-14 04:50:01 -0400,66,HeartRate
2020-09-14 04:46:04 -0400,66,HeartRate
2020-09-14 04:40:53 -0400,0.081,ActiveEnergyBurned
2020-09-14 04:40:06 -0400,65,HeartRate
2020-09-14 04:37:28 -0400,17.521,BasalEnergyBurned
2020-09-14 04:37:16 -0400,66,HeartRate
2020-09-14 04:32:11 -0400,72,HeartRate
2020-09-14 04:26:43 -0400,0.053,ActiveEnergyBurned
2020-09-14 04:25:16 -0400,67,HeartRate
2020-09-14 04:23:39 -0400,16.63,BasalEnergyBurned
2020-09-14 04:20:16 -0400,67,HeartRate
2020-09-14 04:15:01 -0400,68,HeartRate
2020-09-14 04:10:07 -0400,68,HeartRate
2020-09-14 04:08:48 -0400,17.86,BasalEnergyBurned
2020-09-14 04:05:26 -0400,68,HeartRate
2020-09-14 04:00:06 -0400,68,HeartRate
2020-09-14 04:00:00 -0400,HKCategoryValueAppleStandHourIdle,AppleStandHour
