date,BasalEnergyBurned,DistanceWalkingRunning,StepCount
2020-08-14 23,66.943,0.3038278,690.2
2020-08-15 01,66.943,0.033293378,86.5
2020-08-15 10,66.943,0.0122932,28.0
2020-08-15 11,66.943,0.049485497,134.0
2020-08-15 12,66.943,0.10933212,272.8
2020-08-15 13,66.943,0.066073306,170.4
2020-08-15 14,66.943,0.11872124,305.2
2020-08-15 15,66.943,0.16061805,395.66666
2020-08-15 16,66.943,0.146181,380.0
2020-08-15 17,66.943,0.06922708,181.4
2020-08-15 18,66.943,0.00942038,22.0
2020-08-15 20,66.943,0.0527203,140.0
2020-08-15 21,66.943,0.0324085,90.0
2020-08-15 22,66.943,0.074112624,186.0
2020-08-15 23,66.943,0.45534435,1121.3334
2020-08-16 00,66.943,0.0077699805,17.5
2020-08-16 02,66.943,0.008524305,20.75
2020-08-16 10,66.943,0.0202155,44.0
2020-08-16 11,66.943,0.060862232,160.33333
2020-08-16 12,66.943,0.05593456,145.0
2020-08-16 13,66.943,0.0213948,57.5
2020-08-16 14,66.943,0.010287276,23.0
2020-08-16 15,66.943,0.018362,44.0
2020-08-16 16,66.943,0.029915651,72.0
2020-08-16 17,66.943,0.04260184,109.5
2020-08-16 19,66.943,0.20357652,444.0
2020-08-16 20,66.943,0.16353956,426.0
2020-08-16 22,66.943,0.032107554,74.666664
2020-08-16 23,66.943,0.0273554,62.0
2020-08-17 01,66.943,0.00769196,17.5
2020-08-17 08,66.943,0.0117778,27.0
2020-08-17 09,66.943,0.00846942,18.0
2020-08-17 12,66.943,0.00719578,18.0
2020-08-17 16,66.943,0.0166761,42.0
2020-08-17 18,66.943,0.5922035,954.0
2020-08-17 19,66.943,0.2813983,503.5
2020-08-17 20,66.943,0.03240965,85.0
2020-08-17 21,66.943,0.09169833,208.5
2020-08-17 22,66.943,0.00799117,18.0
2020-08-17 23,66.943,0.017171204,41.0
2020-08-18 01,35.48,0.01144314,31.5
2020-08-18 02,14.0436,0.00826249,18.0
2020-08-18 03,13.3334,0.00414944,8.0
2020-08-18 05,16.24575,0.00371386,8.0
2020-08-18 08,18.8132,0.01461952,32.0
2020-08-18 09,21.1725,0.033225026,67.0
2020-08-18 10,21.85325,0.00232117,5.0
2020-08-18 11,20.29325,0.013051851,29.0
2020-08-18 12,21.09075,0.0691588,147.0
2020-08-18 13,22.87975,0.042888198,91.0
2020-08-18 14,21.5045,0.01793865,35.2
2020-08-18 15,23.10225,0.006352327,13.666667
2020-08-18 16,21.452,0.10065936,215.0
2020-08-18 17,21.00425,0.023873033,51.0
2020-08-18 18,21.01125,0.022562847,46.4
2020-08-18 19,17.86625,0.610754,996.0
2020-08-18 20,17.91875,0.5605825,914.3333
2020-08-18 21,18.02275,0.013741334,31.666666
2020-08-18 22,17.869,0.016833372,46.0
2020-08-18 23,16.2244,0.024605842,54.333332
2020-08-19 00,18.207333,0.0154058,35.0
2020-08-19 01,18.598,0.020119438,44.25
2020-08-19 02,15.1156,0.00464233,10.0
2020-08-19 03,14.653,0.0145926,24.0
2020-08-19 08,17.79825,0.00464233,10.0
2020-08-19 10,19.307749,0.010720295,23.25
2020-08-19 11,22.80525,0.03473634,73.0
2020-08-19 12,22.12525,0.033974458,71.2
2020-08-19 13,22.268,0.02087414,43.5
2020-08-19 17,18.071,0.012437705,30.0
2020-08-19 18,2.97272,0.0747391,175.33333
2020-08-19 19,0.09217604,0.0075824703,12.730942
2020-08-19 20,19.54,0.025296945,54.25
2020-08-19 21,18.96125,0.012764254,23.666666
2020-08-19 22,19.798,0.0045666746,10.0
2020-08-19 23,21.425,0.051853538,121.0
2020-08-20 00,17.1072,0.017708516,40.2
2020-08-20 01,19.869,0.025788117,56.8
2020-08-25 01,66.943,0.010130973,24.0
