date,DistanceWalkingRunning,HeartRate,StepCount
2020-08-18 02,0.00826249,71.58662,18.0
2020-08-18 03,0.00414944,68.333336,8.0
2020-08-18 05,0.00371386,59.083332,8.0
2020-08-18 08,0.01461952,61.727272,32.0
2020-08-18 09,0.033225026,75.416664,67.0
2020-08-18 10,0.00232117,73.41945,5.0
2020-08-18 11,0.013051851,72.38461,29.0
2020-08-18 12,0.0691588,75.818184,147.0
2020-08-18 13,0.042888198,84.166664,91.0
2020-08-18 14,0.01793865,86.69231,35.2
2020-08-18 15,0.006352327,85.083336,13.666667
2020-08-18 16,0.10065936,89.181816,215.0
2020-08-18 17,0.023873033,83.166664,51.0
2020-08-18 18,0.022562847,82.9,46.4
2020-08-18 19,0.610754,91.0,996.0
2020-08-19 01,0.020119438,75.2541,44.25
2020-08-19 02,0.00464233,69.705635,10.0
2020-08-19 03,0.0145926,63.583332,24.0
2020-08-19 08,0.00464233,69.333336,10.0
2020-08-19 10,0.010720295,76.23077,23.25
2020-08-19 11,0.03473634,78.0,73.0
2020-08-19 12,0.033974458,80.02825,71.2
2020-08-19 13,0.02087414,93.3,43.5
2020-08-19 18,0.0747391,81.0,175.33333
2020-08-19 19,0.0075824703,183.22694,12.730942
2020-08-19 20,0.025296945,102.0,54.25
2020-08-19 21,0.012764254,102.8,23.666666
2020-08-19 22,0.0045666746,100.15385,10.0
2020-08-19 23,0.051853538,98.57143,121.0
2020-08-20 00,0.017708516,92.92308,40.2
2020-08-20 01,0.025788117,89.4,56.8
2020-09-01 00,0.0140967,66.03784,38.0
2020-09-01 07,0.01285984,61.166668,27.0
2020-09-02 01,0.0125666205,75.5,28.0
2020-09-02 08,0.0153431,63.210884,37.0
2020-09-02 11,0.005139995,78.07692,11.0
2020-09-02 12,0.020793194,80.818184,45.0
2020-09-02 13,0.0108605,82.083336,23.5
2020-09-02 14,0.017065637,91.5,33.5
2020-09-02 15,0.014040803,94.28571,132.25
2020-09-02 16,0.01519065,80.0,32.666668
2020-09-02 17,0.023468755,78.818184,48.75
2020-09-02 18,0.0686329,81.38461,159.25
2020-09-02 19,0.038449895,85.78571,139.66667
2020-09-02 20,0.03821354,78.416664,76.0
2020-09-02 21,0.051081203,85.23077,108.0
2020-09-02 22,0.0826519,86.78571,158.0
2020-09-02 23,0.016934644,77.5,36.5
2020-09-05 09,0.058527917,91.758606,131.71428
2020-09-05 10,0.031768426,95.57143,72.25
2020-09-05 11,0.07642017,94.84615,164.83333
2020-09-05 12,0.05518706,85.166664,117.25
2020-09-05 16,0.1097923,128.16667,292.6
2020-09-05 17,0.10117962,104.5,267.0
2020-09-05 18,0.046844885,91.666664,337.375
2020-09-05 19,0.13746947,96.0,388.33334
2020-09-05 20,0.07623546,70.0,170.57143
2020-09-05 21,0.070599765,96.0,140.8
2020-09-05 22,0.023756878,100.5,113.0
2020-09-05 23,0.049390443,102.125,214.0
2020-09-06 00,0.034918167,103.85714,194.11111
2020-09-06 01,0.09534184,104.02175,255.8
2020-09-14 01,0.0116007,77.0,25.0
2020-09-14 02,0.00523042,72.98275,10.0
2020-09-14 03,0.00417258,71.23932,10.0
2020-09-14 08,0.0113233,66.75,26.0
