date,DistanceWalkingRunning,HeartRate,StepCount
08/14/20,0.31160134,,711.1667
08/15/20,0.11337215,,285.4091
08/16/20,0.054349124,,132.5
08/17/20,0.1727191,,297.3684
08/18/20,0.068740726,73.63867,124.2
08/19/20,0.008544536,155.2866,14.917455
08/20/20,0.035376895,83.16483,83.242424
08/21/20,0.051533114,,129.0
08/22/20,0.067202754,,166.28206
08/23/20,0.15121353,,321.725
08/24/20,0.1361698,,258.08334
08/25/20,0.047038354,,109.71429
08/26/20,0.23363085,,504.70587
08/27/20,0.04738444,,123.375
08/28/20,0.015358928,,40.0
08/29/20,0.12947866,,254.40741
08/30/20,0.04132818,,106.07407
08/31/20,0.044546038,,107.95
09/01/20,0.035683483,58.210262,85.2381
09/02/20,0.026273154,76.41266,78.17021
09/03/20,0.03474184,,86.052635
09/04/20,0.06807916,,162.7619
09/05/20,0.058316506,95.35886,184.10715
09/06/20,0.04174432,103.917,142.35294
09/07/20,0.024035826,,62.61905
09/08/20,0.031056376,,76.6
09/09/20,0.019808255,,49.22222
09/10/20,0.041545555,,105.35714
09/11/20,0.0337004,,84.818184
09/12/20,0.09872319,,232.67123
09/13/20,0.03618814,,88.23333
09/14/20,0.02227166,67.77986,54.25
