startDate,FlightsClimbed,StepCount
2020-08-14,0,4267
2020-08-15,4,12558
2020-08-16,7,5035
2020-08-17,3,5650
2020-08-18,7,6210
2020-08-19,11,17349
2020-08-20,10,2747
2020-08-21,6,5418
2020-08-22,7,6485
2020-08-23,8,12869
2020-08-24,8,6194
2020-08-25,4,2304
2020-08-26,3,8580
2020-08-27,4,2961
2020-08-28,2,680
2020-08-29,9,6869
2020-08-30,5,2864
2020-08-31,5,2159
2020-09-01,8,1790
2020-09-02,9,3674
2020-09-03,7,1635
2020-09-04,6,3418
2020-09-05,7,15465
2020-09-06,12,4840
2020-09-07,4,1315
2020-09-08,4,1149
2020-09-09,3,443
2020-09-10,7,1475
2020-09-11,5,1866
2020-09-12,7,16985
2020-09-13,8,2647
2020-09-14,4,868
