startDate,value
2020-09-14 08:17:29 -0400,68
2020-09-14 08:11:30 -0400,68
2020-09-14 08:07:24 -0400,67
2020-09-14 08:04:59 -0400,64
2020-09-14 07:55:04 -0400,66
2020-09-14 07:50:59 -0400,66
2020-09-14 07:45:26 -0400,65
2020-09-14 07:42:34 -0400,64
2020-09-14 07:35:42 -0400,64
2020-09-14 07:32:29 -0400,65
2020-09-14 07:25:24 -0400,66
2020-09-14 07:20:09 -0400,66
2020-09-14 07:17:09 -0400,65
2020-09-14 07:10:10 -0400,61
2020-09-14 07:07:12 -0400,66
2020-09-14 07:04:42 -0400,69.5023
2020-09-14 07:01:03 -0400,65
2020-09-14 06:56:57 -0400,67
2020-09-14 06:53:51 -0400,67
2020-09-14 06:45:26 -0400,67
2020-09-14 06:40:14 -0400,71
2020-09-14 06:35:57 -0400,67
2020-09-14 06:33:22 -0400,61
2020-09-14 06:25:22 -0400,60
2020-09-14 06:21:27 -0400,59
2020-09-14 06:15:02 -0400,65
2020-09-14 06:10:27 -0400,65
2020-09-14 06:07:47 -0400,61
2020-09-14 06:00:22 -0400,62
2020-09-14 05:56:05 -0400,64
2020-09-14 05:50:42 -0400,64
2020-09-14 05:45:10 -0400,64
2020-09-14 05:40:07 -0400,64
2020-09-14 05:35:22 -0400,65
2020-09-14 05:30:57 -0400,65
2020-09-14 05:26:04 -0400,64
2020-09-14 05:20:07 -0400,63
2020-09-14 05:15:16 -0400,63
2020-09-14 05:11:16 -0400,63
2020-09-14 05:05:16 -0400,67
2020-09-14 05:00:36 -0400,68
2020-09-14 04:55:31 -0400,68
2020-09-14 04:50:01 -0400,66
2020-09-14 04:46:04 -0400,66
2020-09-14 04:40:06 -0400,65
2020-09-14 04:37:16 -0400,66
2020-09-14 04:32:11 -0400,72
2020-09-14 04:25:16 -0400,67
2020-09-14 04:20:16 -0400,67
2020-09-14 04:15:01 -0400,68
2020-09-14 04:10:07 -0400,68
2020-09-14 04:05:26 -0400,68
2020-09-14 04:00:06 -0400,68
2020-09-14 03:55:31 -0400,68
2020-09-14 03:50:11 -0400,67
2020-09-14 03:45:56 -0400,68
2020-09-14 03:42:51 -0400,68
2020-09-14 03:35:52 -0400,72
2020-09-14 03:31:01 -0400,70
2020-09-14 03:25:39 -0400,74
2020-09-14 03:20:01 -0400,70
